SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 11-Jun-2025, 107.50, 107.90, 107.90, 107.65, 107.65, 107.65, 107.81, 228, 0.25, 5, 228, 100.00
20MICRONS, EQ, 11-Jun-2025, 224.05, 223.33, 239.97, 223.33, 235.10, 234.47, 234.47, 324681, 761.29, 8708, 134005, 41.27
21STCENMGM, EQ, 11-Jun-2025, 66.93, 67.00, 67.58, 65.60, 66.50, 65.98, 66.71, 5564, 3.71, 239, 4304, 77.35
360ONE, EQ, 11-Jun-2025, 1062.30, 1073.05, 1113.80, 1060.45, 1090.00, 1087.10, 1084.37, 1488940, 16145.68, 71375, 676381, 45.43
3IINFOLTD, EQ, 11-Jun-2025, 26.56, 26.74, 27.40, 26.22, 26.67, 26.68, 26.79, 779725, 208.92, 3465, 384774, 49.35
3MINDIA, EQ, 11-Jun-2025, 29425.00, 29645.00, 29645.00, 29250.00, 29265.00, 29325.00, 29382.96, 2791, 820.08, 1101, 1307, 46.83
3PLAND, EQ, 11-Jun-2025, 55.81, 55.98, 58.79, 55.01, 56.80, 56.84, 57.21, 34139, 19.53, 937, 19568, 57.32
563GS2026, GS, 11-Jun-2025, 100.00, 101.20, 101.20, 101.15, 101.15, 101.18, 101.20, 13, 0.01, 4, 13, 100.00
577GS2030, GS, 11-Jun-2025, 98.30, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 100, 0.10, 1, 100, 100.00
5PAISA, EQ, 11-Jun-2025, 425.35, 421.70, 425.95, 411.00, 413.55, 416.25, 419.85, 37133, 155.90, 3105, 17449, 46.99
610GS2031, GS, 11-Jun-2025, 100.05, 98.40, 98.40, 98.40, 98.40, 98.40, 98.40, 100, 0.10, 1, 100, 100.00
622GS2035, GS, 11-Jun-2025, 96.70, 96.36, 96.37, 96.36, 96.37, 96.37, 96.37, 2, 0.00, 2, 1, 50.00
63MOONS, EQ, 11-Jun-2025, 863.00, 877.00, 930.00, 867.05, 910.50, 909.25, 907.56, 793902, 7205.14, 24718, 387684, 48.83
664GS2027, GS, 11-Jun-2025, 104.10, 103.00, 103.00, 101.45, 102.14, 102.14, 101.98, 1110, 1.13, 10, 1100, 99.10
667GS2035, GS, 11-Jun-2025, 105.30, 108.83, 108.83, 105.00, 107.99, 107.99, 105.01, 1090, 1.14, 3, 1088, 99.82
667GS2050, GS, 11-Jun-2025, 100.30, 100.30, 100.30, 100.30, 100.30, 100.30, 100.30, 10, 0.01, 1, 10, 100.00
675GS2029, GS, 11-Jun-2025, 107.00, 106.25, 106.25, 106.25, 106.25, 106.25, 106.25, 300, 0.32, 1, 300, 100.00
676GS2061, GS, 11-Jun-2025, 100.65, 100.75, 100.75, 100.60, 100.60, 100.61, 100.69, 5371, 5.41, 6, 5371, 100.00
679GS2034, GS, 11-Jun-2025, 103.50, 103.50, 103.50, 103.50, 103.50, 103.50, 103.50, 400, 0.41, 1, 400, 100.00
68GS2060, GS, 11-Jun-2025, 101.50, 99.50, 103.00, 99.50, 101.50, 101.50, 101.48, 23, 0.02, 4, 22, 95.65
690GS2065, GS, 11-Jun-2025, 100.92, 100.90, 100.90, 100.90, 100.90, 100.90, 100.90, 571, 0.58, 7, 571, 100.00
698GR2054, GS, 11-Jun-2025, 101.00, 104.58, 104.58, 104.58, 104.58, 104.58, 104.58, 1, 0.00, 1, 1, 100.00
702GS2027, GS, 11-Jun-2025, 102.10, 102.70, 103.00, 102.70, 103.00, 103.00, 102.98, 43673, 44.97, 9, 43673, 100.00
702GS2031, GS, 11-Jun-2025, 107.15, 106.80, 107.95, 106.75, 107.95, 107.95, 106.76, 201001, 214.59, 6, 200000, 99.50
704GS2029, GS, 11-Jun-2025, 103.30, 103.75, 103.75, 103.75, 103.75, 103.75, 103.75, 400, 0.42, 3, 400, 100.00
706GS2028, GS, 11-Jun-2025, 103.96, 104.00, 104.00, 103.80, 104.00, 104.00, 104.00, 20109, 20.91, 6, 20109, 100.00
709GS2054, GS, 11-Jun-2025, 105.99, 105.99, 105.99, 105.90, 105.99, 105.98, 105.99, 1901, 2.01, 6, 1901, 100.00
709GS2074, GS, 11-Jun-2025, 102.78, 103.00, 103.00, 102.15, 102.15, 102.19, 102.65, 172201, 176.76, 55, 171154, 99.39
710GS2029, GS, 11-Jun-2025, 104.66, 105.00, 105.24, 104.80, 105.00, 104.88, 104.97, 3409, 3.58, 11, 3409, 100.00
716GS2050, GS, 11-Jun-2025, 104.65, 104.49, 104.49, 104.49, 104.49, 104.49, 104.49, 94, 0.10, 1, 94, 100.00
717GS2030, GS, 11-Jun-2025, 106.00, 105.98, 105.98, 105.98, 105.98, 105.98, 105.98, 154, 0.16, 4, 154, 100.00
718GS2037, GS, 11-Jun-2025, 108.00, 108.21, 108.30, 108.20, 108.30, 108.30, 108.20, 10927, 11.82, 4, 10927, 100.00
719GS2060, GS, 11-Jun-2025, 107.02, 105.00, 105.80, 105.00, 105.80, 105.80, 105.20, 4, 0.00, 3, 4, 100.00
71GS2034, GS, 11-Jun-2025, 105.15, 105.20, 106.10, 105.00, 106.10, 106.10, 105.23, 260100, 273.72, 7, 250100, 96.16
725GS2063, GS, 11-Jun-2025, 107.99, 104.35, 104.49, 103.45, 103.50, 103.63, 103.71, 256809, 266.33, 168, 250309, 97.47
726GS2032, GS, 11-Jun-2025, 107.41, 107.99, 107.99, 107.00, 107.50, 107.49, 107.46, 54099, 58.14, 48, 54089, 99.98
726GS2033, GS, 11-Jun-2025, 107.31, 107.16, 107.16, 107.15, 107.15, 107.15, 107.15, 25000, 26.79, 2, 25000, 100.00
732GS2030, GS, 11-Jun-2025, 105.65, 105.65, 105.65, 105.65, 105.65, 105.65, 105.65, 1600, 1.69, 3, 1600, 100.00
733GS2026, GS, 11-Jun-2025, 103.40, 103.05, 103.05, 103.05, 103.05, 103.05, 103.05, 2, 0.00, 1, 2, 100.00
734GS2064, GS, 11-Jun-2025, 107.04, 107.06, 107.06, 106.50, 106.50, 106.51, 106.70, 333098, 355.41, 77, 332921, 99.95
736GS2052, GS, 11-Jun-2025, 107.55, 108.00, 108.00, 107.88, 107.88, 107.88, 107.99, 1090, 1.18, 4, 1090, 100.00
737GS2028, GS, 11-Jun-2025, 105.35, 105.90, 105.90, 105.20, 105.20, 105.20, 105.85, 10770, 11.40, 23, 10500, 97.49
738GS2027, GS, 11-Jun-2025, 107.00, 106.50, 107.15, 106.25, 107.00, 107.04, 107.00, 92594, 99.07, 22, 92194, 99.57
73GS2053, GS, 11-Jun-2025, 107.71, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 2000, 2.14, 1, 2000, 100.00
741GS2036, GS, 11-Jun-2025, 111.27, 111.70, 111.70, 110.35, 110.70, 110.55, 110.72, 2323, 2.57, 11, 2322, 99.96
746GS2073, GS, 11-Jun-2025, 109.89, 109.00, 109.00, 108.01, 108.90, 108.90, 108.96, 14426, 15.72, 21, 14226, 98.61
