SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 19-Jun-2025, 107.15, 108.12, 108.13, 108.12, 108.13, 108.13, 108.13, 4, 0.00, 2, 2, 50.00
20MICRONS, EQ, 19-Jun-2025, 232.98, 232.98, 239.00, 224.00, 224.50, 225.29, 227.80, 92236, 210.12, 3421, 45596, 49.43
21STCENMGM, EQ, 19-Jun-2025, 65.53, 66.80, 66.84, 64.89, 66.06, 66.08, 66.46, 5847, 3.89, 121, 4494, 76.86
360ONE, EQ, 19-Jun-2025, 1118.65, 1122.35, 1160.00, 1100.10, 1106.00, 1114.40, 1132.29, 839416, 9504.66, 53657, 376295, 44.83
3IINFOLTD, EQ, 19-Jun-2025, 25.12, 25.30, 25.42, 24.18, 24.22, 24.40, 24.60, 486851, 119.78, 2806, 250204, 51.39
3MINDIA, EQ, 19-Jun-2025, 29175.00, 29090.00, 29155.00, 28725.00, 28800.00, 28875.00, 28875.30, 1639, 473.27, 920, 831, 50.70
3PLAND, EQ, 19-Jun-2025, 53.88, 53.92, 55.39, 51.00, 52.40, 51.40, 53.33, 17064, 9.10, 435, 11028, 64.63
563GS2026, GS, 19-Jun-2025, 101.10, 101.14, 101.14, 101.14, 101.14, 101.14, 101.14, 7, 0.01, 1, 7, 100.00
574GS2026, GS, 19-Jun-2025, 100.80, 99.80, 99.99, 98.60, 99.99, 99.99, 98.63, 500005, 493.13, 7, 500000, 100.00
579GS2030, GS, 19-Jun-2025, 99.77, 95.60, 96.00, 95.60, 96.00, 96.00, 95.80, 200, 0.19, 2, 100, 50.00
5PAISA, EQ, 19-Jun-2025, 397.55, 398.55, 399.05, 383.35, 390.00, 388.95, 391.71, 31206, 122.24, 2827, 16166, 51.80
63MOONS, EQ, 19-Jun-2025, 930.95, 922.00, 935.00, 864.10, 872.00, 873.55, 888.23, 362752, 3222.08, 18404, 187374, 51.65
654GS2032, GS, 19-Jun-2025, 104.05, 104.20, 104.24, 104.02, 104.02, 104.02, 104.15, 3250, 3.38, 3, 3250, 100.00
664GS2027, GS, 19-Jun-2025, 101.40, 101.10, 101.10, 101.00, 101.00, 101.02, 101.02, 4100, 4.14, 2, 4100, 100.00
664GS2035, GS, 19-Jun-2025, 101.60, 98.50, 98.60, 98.50, 98.60, 98.60, 98.55, 2000, 1.97, 2, 1000, 50.00
676GS2061, GS, 19-Jun-2025, 100.40, 100.50, 100.50, 100.50, 100.50, 100.50, 100.50, 1500, 1.51, 2, 1500, 100.00
679GS2031, GS, 19-Jun-2025, 105.05, 105.00, 105.30, 105.00, 105.25, 105.25, 105.00, 25500, 26.78, 6, 25500, 100.00
679GS2034, GS, 19-Jun-2025, 103.25, 102.55, 102.55, 102.55, 102.55, 102.55, 102.55, 100, 0.10, 1, 100, 100.00
690GS2065, GS, 19-Jun-2025, 101.25, 99.51, 99.51, 99.25, 99.25, 99.48, 99.48, 13600, 13.53, 7, 13600, 100.00
692GS2039, GS, 19-Jun-2025, 102.36, 102.36, 105.75, 102.36, 105.75, 105.75, 102.39, 101, 0.10, 2, 101, 100.00
695GS2061, GS, 19-Jun-2025, 100.00, 100.00, 100.50, 100.00, 100.50, 100.50, 100.01, 209, 0.21, 3, 209, 100.00
