SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 12-Jun-2025, 107.65, 107.00, 107.95, 106.75, 107.95, 107.94, 106.99, 10509, 11.24, 5, 10499, 99.90
20MICRONS, EQ, 12-Jun-2025, 234.47, 234.47, 234.48, 226.52, 227.11, 228.14, 230.27, 92405, 212.78, 3410, 46099, 49.89
21STCENMGM, EQ, 12-Jun-2025, 65.98, 67.20, 67.20, 65.41, 66.28, 66.21, 66.49, 9873, 6.56, 253, 7039, 71.30
360ONE, EQ, 12-Jun-2025, 1087.10, 1090.00, 1110.00, 1070.05, 1075.10, 1081.40, 1093.23, 1560231, 17056.95, 72334, 966695, 61.96
3IINFOLTD, EQ, 12-Jun-2025, 26.68, 26.67, 26.95, 25.61, 25.72, 25.91, 26.29, 1019162, 267.91, 3514, 616435, 60.48
3MINDIA, EQ, 12-Jun-2025, 29325.00, 29495.00, 29550.00, 29130.00, 29400.00, 29230.00, 29310.36, 3134, 918.59, 1539, 1132, 36.12
3PLAND, EQ, 12-Jun-2025, 56.84, 57.00, 58.30, 56.00, 56.00, 56.48, 57.19, 9568, 5.47, 333, 5688, 59.45
515GS2025, GS, 12-Jun-2025, 98.95, 98.50, 101.99, 98.50, 98.50, 98.50, 99.66, 6, 0.01, 6, 2, 33.33
5PAISA, EQ, 12-Jun-2025, 416.25, 416.25, 420.00, 403.00, 407.50, 405.75, 411.51, 28826, 118.62, 2767, 13173, 45.70
610GS2031, GS, 12-Jun-2025, 98.40, 101.50, 101.50, 101.50, 101.50, 101.50, 101.50, 3, 0.00, 1, 3, 100.00
63MOONS, EQ, 12-Jun-2025, 909.25, 916.40, 923.95, 865.00, 908.00, 909.60, 894.56, 512980, 4588.93, 19315, 187831, 36.62
654GS2032, GS, 12-Jun-2025, 105.00, 103.25, 103.25, 103.25, 103.25, 103.25, 103.25, 300, 0.31, 1, 300, 100.00
664GS2027, GS, 12-Jun-2025, 102.14, 102.15, 102.15, 101.40, 101.40, 101.40, 102.09, 9500, 9.70, 12, 9500, 100.00
667GS2035, GS, 12-Jun-2025, 107.99, 108.55, 108.55, 108.50, 108.50, 108.50, 108.53, 2, 0.00, 2, 1, 50.00
667GS2050, GS, 12-Jun-2025, 100.30, 101.65, 101.65, 101.65, 101.65, 101.65, 101.65, 1, 0.00, 1, 1, 100.00
676GS2061, GS, 12-Jun-2025, 100.61, 100.70, 100.70, 100.70, 100.70, 100.70, 100.70, 1450, 1.46, 6, 1450, 100.00
679GS2031, GS, 12-Jun-2025, 107.00, 106.00, 106.00, 105.00, 105.00, 105.00, 105.78, 510, 0.54, 2, 510, 100.00
679GS2034, GS, 12-Jun-2025, 103.50, 103.25, 103.25, 103.25, 103.25, 103.25, 103.25, 100, 0.10, 1, 100, 100.00
679GS2034A, GS, 12-Jun-2025, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100, 0.10, 1, 100, 100.00
68GS2060, GS, 12-Jun-2025, 101.50, 103.00, 103.00, 103.00, 103.00, 103.00, 103.00, 10, 0.01, 2, 10, 100.00
690GS2065, GS, 12-Jun-2025, 100.90, 101.00, 101.00, 100.60, 100.60, 100.62, 100.64, 2106, 2.12, 4, 2106, 100.00
692GS2039, GS, 12-Jun-2025, 104.34, 102.25, 105.75, 102.25, 105.75, 105.75, 104.50, 600, 0.63, 5, 400, 66.67
695GS2061, GS, 12-Jun-2025, 104.50, 101.00, 105.00, 101.00, 104.50, 104.50, 102.20, 15, 0.02, 4, 10, 66.67
699GS2051, GS, 12-Jun-2025, 105.00, 105.74, 105.75, 105.74, 105.75, 105.75, 105.75, 81, 0.09, 2, 81, 100.00
702GS2027, GS, 12-Jun-2025, 103.00, 103.00, 103.00, 103.00, 103.00, 103.00, 103.00, 5328, 5.49, 6, 5328, 100.00
702GS2031, GS, 12-Jun-2025, 107.95, 107.95, 107.95, 107.95, 107.95, 107.95, 107.95, 100, 0.11, 1, 100, 100.00
