SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 16-Jun-2025, 108.19, 106.00, 106.00, 106.00, 106.00, 106.00, 106.00, 1000, 1.06, 1, 1000, 100.00
20MICRONS, EQ, 16-Jun-2025, 224.69, 226.80, 250.10, 218.85, 245.00, 238.73, 233.68, 207251, 484.30, 3551, 118583, 57.22
21STCENMGM, EQ, 16-Jun-2025, 64.96, 65.80, 65.80, 63.66, 64.00, 64.30, 64.17, 4685, 3.01, 174, 2807, 59.91
360ONE, EQ, 16-Jun-2025, 1140.50, 1140.00, 1191.60, 1120.90, 1167.70, 1169.60, 1162.75, 2302686, 26774.51, 90196, 1225978, 53.24
3IINFOLTD, EQ, 16-Jun-2025, 25.51, 25.00, 26.00, 24.60, 25.58, 25.68, 25.28, 612522, 154.85, 2880, 267285, 43.64
3MINDIA, EQ, 16-Jun-2025, 29145.00, 29400.00, 29400.00, 28900.00, 29100.00, 29145.00, 29086.86, 1475, 429.03, 787, 704, 47.73
3PLAND, EQ, 16-Jun-2025, 52.97, 53.99, 57.50, 51.72, 54.00, 54.07, 54.37, 30822, 16.76, 636, 17220, 55.87
563GS2026, GS, 16-Jun-2025, 100.00, 99.00, 100.00, 99.00, 100.00, 100.00, 99.33, 150, 0.15, 2, 150, 100.00
579GS2030, GS, 16-Jun-2025, 100.00, 95.60, 99.90, 95.60, 99.90, 99.77, 99.52, 213, 0.21, 4, 200, 93.90
5PAISA, EQ, 16-Jun-2025, 404.30, 404.30, 409.00, 395.80, 408.30, 407.00, 402.09, 28052, 112.79, 2442, 12576, 44.83
619GS2034, GS, 16-Jun-2025, 101.99, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 62, 0.06, 1, 62, 100.00
622GS2035, GS, 16-Jun-2025, 96.37, 96.36, 96.38, 96.36, 96.38, 96.38, 96.36, 176, 0.17, 2, 171, 97.16
63MOONS, EQ, 16-Jun-2025, 923.75, 923.75, 948.40, 894.10, 933.80, 934.15, 926.64, 400315, 3709.48, 15929, 157972, 39.46
667GS2035, GS, 16-Jun-2025, 108.50, 113.92, 113.92, 113.92, 113.92, 113.92, 113.92, 2, 0.00, 2, 1, 50.00
667GS2050, GS, 16-Jun-2025, 101.65, 97.50, 101.99, 97.50, 99.60, 99.60, 99.86, 5211, 5.20, 8, 4677, 89.75
676GS2061, GS, 16-Jun-2025, 100.98, 100.50, 100.50, 100.50, 100.50, 100.50, 100.50, 1000, 1.01, 1, 1000, 100.00
68GS2060, GS, 16-Jun-2025, 101.75, 100.50, 100.50, 99.74, 99.75, 99.75, 99.75, 270, 0.27, 4, 268, 99.26
690GS2065, GS, 16-Jun-2025, 100.62, 100.05, 100.25, 100.05, 100.25, 100.25, 100.11, 13446, 13.46, 6, 13446, 100.00
692GS2039, GS, 16-Jun-2025, 105.75, 105.75, 105.75, 105.75, 105.75, 105.75, 105.75, 2200, 2.33, 3, 2200, 100.00
695GS2061, GS, 16-Jun-2025, 101.75, 100.75, 100.75, 100.00, 100.00, 100.00, 100.04, 1879, 1.88, 9, 1879, 100.00
699GS2051, GS, 16-Jun-2025, 100.80, 100.00, 101.75, 100.00, 101.75, 101.75, 100.19, 225, 0.23, 3, 225, 100.00
702GS2031, GS, 16-Jun-2025, 106.25, 103.00, 103.00, 103.00, 103.00, 103.00, 103.00, 100, 0.10, 1, 100, 100.00
706GS2028, GS, 16-Jun-2025, 104.69, 104.69, 104.69, 103.70, 103.70, 103.70, 103.75, 1001, 1.04, 5, 1000, 99.90
709GS2054, GS, 16-Jun-2025, 104.44, 104.43, 104.43, 104.43, 104.43, 104.43, 104.43, 1100, 1.15, 2, 1100, 100.00
709GS2074, GS, 16-Jun-2025, 100.67, 102.00, 102.00, 100.80, 100.95, 100.89, 100.96, 105423, 106.43, 32, 105423, 100.00
710GS2029, GS, 16-Jun-2025, 104.78, 105.00, 105.00, 104.05, 104.84, 104.84, 104.34, 78800, 82.22, 34, 62487, 79.30
717GS2030, GS, 16-Jun-2025, 105.00, 104.30, 104.30, 104.30, 104.30, 104.30, 104.30, 1000, 1.04, 1, 1000, 100.00
718GS2033, GS, 16-Jun-2025, 108.30, 106.00, 106.00, 106.00, 106.00, 106.00, 106.00, 1000, 1.06, 1, 1000, 100.00
718GS2037, GS, 16-Jun-2025, 107.99, 108.00, 108.00, 108.00, 108.00, 108.00, 108.00, 45850, 49.52, 24, 45850, 100.00
719GS2060, GS, 16-Jun-2025, 104.40, 105.00, 107.16, 105.00, 107.16, 107.16, 105.08, 26, 0.03, 2, 26, 100.00
71GS2034, GS, 16-Jun-2025, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 50000, 52.50, 1, 50000, 100.00
723GS2039, GS, 16-Jun-2025, 107.30, 107.30, 107.30, 107.25, 107.25, 107.25, 107.27, 2500, 2.68, 2, 2500, 100.00
725GS2063, GS, 16-Jun-2025, 102.68, 102.10, 103.00, 102.10, 102.89, 102.94, 102.84, 80962, 83.26, 100, 76259, 94.19
726GS2032, GS, 16-Jun-2025, 106.69, 106.50, 107.40, 106.50, 107.00, 107.00, 106.98, 26299, 28.13, 5, 26299, 100.00
726GS2033, GS, 16-Jun-2025, 107.15, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 75219, 80.48, 4, 75219, 100.00
732GS2030, GS, 16-Jun-2025, 105.65, 104.80, 105.05, 104.80, 105.05, 105.05, 104.99, 6500, 6.82, 5, 6500, 100.00
733GS2026, GS, 16-Jun-2025, 102.88, 102.88, 102.88, 102.88, 102.88, 102.88, 102.88, 1, 0.00, 1, 1, 100.00
734GS2064, GS, 16-Jun-2025, 105.80, 106.00, 106.00, 105.50, 105.65, 105.65, 105.81, 174599, 184.74, 39, 174599, 100.00
736GS2052, GS, 16-Jun-2025, 107.88, 105.18, 108.70, 105.18, 108.70, 108.70, 108.62, 93, 0.10, 2, 93, 100.00
737GS2028, GS, 16-Jun-2025, 104.66, 104.40, 105.00, 104.40, 105.00, 105.00, 104.79, 3693, 3.87, 7, 3693, 100.00
738GS2027, GS, 16-Jun-2025, 106.76, 106.56, 106.79, 106.55, 106.79, 106.70, 106.61, 19748, 21.05, 30, 19748, 100.00
73GS2053, GS, 16-Jun-2025, 107.25, 106.18, 106.18, 106.18, 106.18, 106.18, 106.18, 100, 0.11, 1, 100, 100.00
741GS2036, GS, 16-Jun-2025, 111.00, 111.00, 111.00, 111.00, 111.00, 111.00, 111.00, 1001, 1.11, 3, 1001, 100.00
