SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 18-Jun-2025, 108.20, 108.00, 108.00, 107.00, 107.15, 107.15, 107.48, 2218, 2.38, 9, 2218, 100.00
20MICRONS, EQ, 18-Jun-2025, 236.99, 234.60, 237.28, 231.20, 232.21, 232.98, 234.12, 65322, 152.93, 2393, 29813, 45.64
21STCENMGM, EQ, 18-Jun-2025, 64.25, 65.44, 65.53, 63.61, 65.53, 65.53, 65.07, 2499, 1.63, 78, 1919, 76.79
360ONE, EQ, 18-Jun-2025, 1146.20, 1147.60, 1178.80, 1113.05, 1121.10, 1118.65, 1138.10, 791793, 9011.42, 37363, 404406, 51.07
3IINFOLTD, EQ, 18-Jun-2025, 25.60, 25.69, 25.70, 25.02, 25.07, 25.12, 25.30, 335774, 84.95, 1660, 146218, 43.55
3MINDIA, EQ, 18-Jun-2025, 28970.00, 28970.00, 29300.00, 28855.00, 28950.00, 29175.00, 29081.28, 1676, 487.40, 923, 921, 54.95
3PLAND, EQ, 18-Jun-2025, 54.96, 55.60, 55.60, 53.14, 53.40, 53.88, 53.77, 18717, 10.06, 350, 14436, 77.13
574GS2026, GS, 18-Jun-2025, 100.80, 100.80, 100.80, 100.80, 100.80, 100.80, 100.80, 1, 0.00, 1, 1, 100.00
5PAISA, EQ, 18-Jun-2025, 399.45, 395.50, 404.95, 394.50, 395.50, 397.55, 398.81, 17242, 68.76, 2163, 8235, 47.76
610GS2031, GS, 18-Jun-2025, 101.50, 101.50, 101.50, 101.50, 101.50, 101.50, 101.50, 2, 0.00, 2, 2, 100.00
622GS2035, GS, 18-Jun-2025, 96.38, 96.40, 96.40, 96.40, 96.40, 96.40, 96.40, 1, 0.00, 1, 1, 100.00
63MOONS, EQ, 18-Jun-2025, 916.70, 920.00, 945.80, 901.50, 929.00, 930.95, 929.84, 356387, 3313.81, 12003, 138601, 38.89
654GS2032, GS, 18-Jun-2025, 104.25, 104.20, 104.25, 104.05, 104.05, 104.05, 104.11, 2983, 3.11, 5, 2983, 100.00
667GS2050, GS, 18-Jun-2025, 98.99, 98.84, 99.00, 97.70, 99.00, 99.00, 98.88, 7694, 7.61, 6, 7694, 100.00
676GS2061, GS, 18-Jun-2025, 100.50, 100.50, 100.50, 100.40, 100.40, 100.40, 100.50, 20005, 20.11, 4, 20005, 100.00
679GS2031, GS, 18-Jun-2025, 105.00, 104.90, 105.05, 104.90, 105.05, 105.05, 105.00, 100300, 105.32, 4, 100300, 100.00
692GS2039, GS, 18-Jun-2025, 105.75, 102.15, 102.36, 102.15, 102.36, 102.36, 102.29, 300, 0.31, 2, 300, 100.00
695GS2061, GS, 18-Jun-2025, 105.00, 102.99, 102.99, 100.00, 100.00, 100.00, 100.01, 5013, 5.01, 7, 5000, 99.74
697GR2034, GS, 18-Jun-2025, 101.81, 97.00, 100.79, 97.00, 99.78, 99.78, 99.59, 400, 0.40, 4, 300, 75.00
698GR2054, GS, 18-Jun-2025, 100.00, 99.00, 99.00, 99.00, 99.00, 99.00, 99.00, 100, 0.10, 2, 100, 100.00
699GS2026, GS, 18-Jun-2025, 101.75, 102.00, 102.10, 102.00, 102.10, 102.10, 102.10, 1000, 1.02, 2, 1000, 100.00
699GS2051, GS, 18-Jun-2025, 101.50, 101.00, 101.75, 100.50, 100.50, 100.50, 100.90, 10358, 10.45, 18, 10358, 100.00
702GS2027, GS, 18-Jun-2025, 102.70, 101.85, 101.85, 101.85, 101.85, 101.85, 101.85, 200, 0.20, 2, 200, 100.00
702GS2031, GS, 18-Jun-2025, 104.50, 103.05, 103.05, 103.05, 103.05, 103.05, 103.05, 100, 0.10, 1, 100, 100.00
709GS2054, GS, 18-Jun-2025, 102.55, 103.00, 105.44, 103.00, 105.44, 105.44, 103.05, 102, 0.11, 3, 101, 99.02
709GS2074, GS, 18-Jun-2025, 101.28, 101.68, 101.68, 101.00, 101.00, 101.00, 101.24, 6891, 6.98, 36, 6691, 97.10
710GS2029, GS, 18-Jun-2025, 104.67, 104.25, 105.00, 104.25, 104.90, 104.89, 104.64, 9095, 9.52, 10, 5595, 61.52
716GS2050, GS, 18-Jun-2025, 103.75, 106.75, 106.75, 105.68, 105.68, 105.68, 106.22, 2, 0.00, 2, 1, 50.00
717GS2028, GS, 18-Jun-2025, 106.00, 105.50, 105.50, 105.50, 105.50, 105.50, 105.50, 5, 0.01, 3, 5, 100.00
717GS2030, GS, 18-Jun-2025, 104.30, 104.30, 104.30, 104.30, 104.30, 104.30, 104.30, 10000, 10.43, 2, 10000, 100.00
718GS2033, GS, 18-Jun-2025, 106.76, 106.75, 107.00, 106.65, 106.85, 106.79, 106.95, 12400, 13.26, 6, 12300, 99.19
718GS2037, GS, 18-Jun-2025, 108.00, 107.74, 107.75, 107.74, 107.75, 107.75, 107.75, 28400, 30.60, 7, 28400, 100.00
719GS2060, GS, 18-Jun-2025, 102.00, 106.93, 106.93, 106.93, 106.93, 106.93, 106.93, 1, 0.00, 1, 1, 100.00
71GS2034, GS, 18-Jun-2025, 105.00, 104.60, 106.15, 104.60, 106.15, 106.15, 105.09, 150, 0.16, 3, 127, 84.67
723GS2039, GS, 18-Jun-2025, 107.25, 107.30, 107.30, 107.30, 107.30, 107.30, 107.30, 99, 0.11, 1, 99, 100.00
725GS2063, GS, 18-Jun-2025, 102.74, 102.80, 102.89, 102.40, 102.40, 102.57, 102.63, 71738, 73.62, 59, 65893, 91.85
726GS2032, GS, 18-Jun-2025, 107.89, 107.00, 107.39, 106.85, 107.39, 107.39, 107.00, 120621, 129.06, 10, 120621, 100.00
726GS2033, GS, 18-Jun-2025, 107.00, 107.00, 107.01, 107.00, 107.01, 107.01, 107.00, 4001, 4.28, 3, 4001, 100.00
733GS2026, GS, 18-Jun-2025, 102.70, 102.70, 102.80, 102.70, 102.80, 102.80, 102.77, 14956, 15.37, 2, 14956, 100.00
734GS2064, GS, 18-Jun-2025, 105.72, 105.26, 105.50, 105.00, 105.00, 105.00, 105.16, 177089, 186.23, 36, 177089, 100.00
736GS2052, GS, 18-Jun-2025, 108.70, 108.74, 108.75, 108.74, 108.75, 108.75, 108.75, 2, 0.00, 2, 1, 50.00
737GS2028, GS, 18-Jun-2025, 105.80, 105.58, 105.58, 105.58, 105.58, 105.58, 105.58, 1000, 1.06, 1, 1000, 100.00
738GS2027, GS, 18-Jun-2025, 106.84, 106.90, 106.93, 106.50, 106.85, 106.82, 106.75, 48632, 51.91, 22, 36732, 75.53
73GS2053, GS, 18-Jun-2025, 106.18, 106.18, 106.80, 104.90, 104.90, 104.95, 105.12, 29568, 31.08, 16, 29568, 100.00
740IIFCL33, N1, 18-Jun-2025, 1175.00, 1170.00, 1170.00, 1146.25, 1146.25, 1146.25, 1169.79, 1008, 11.79, 4, 1008, 100.00
741GS2036, GS, 18-Jun-2025, 110.99, 108.99, 108.99, 107.49, 107.99, 107.98, 107.67, 22892, 24.65, 12, 22892, 100.00
746GS2073, GS, 18-Jun-2025, 108.73, 107.60, 107.60, 107.15, 107.60, 107.60, 107.60, 12108, 13.03, 15, 12108, 100.00
74GS2062, GS, 18-Jun-2025, 108.62, 105.01, 108.99, 105.01, 108.99, 108.99, 105.43, 187, 0.20, 6, 172, 91.98
754GS2036, GS, 18-Jun-2025, 109.03, 108.52, 109.20, 108.52, 109.00, 109.00, 109.01, 216087, 235.55, 89, 210037, 97.20
75GS2034, GS, 18-Jun-2025, 107.25, 106.51, 106.51, 105.50, 105.50, 105.50, 105.94, 2500, 2.65, 3, 2500, 100.00
813GS2045, GS, 18-Jun-2025, 117.00, 120.45, 120.45, 120.45, 120.45, 120.45, 120.45, 250, 0.30, 1, 250, 100.00
824GS2027, GS, 18-Jun-2025, 106.00, 106.00, 106.70, 106.00, 106.70, 106.22, 106.03, 215320, 228.31, 15, 214420, 99.58
